鄉鎮市區,交易標的,建物型態,主要用途,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,有無管理組織,總價元,單價元平方公尺,車位類別,電梯,公設比,屋齡,豪宅,面積大小,移轉層次_數字,總樓層數_數字,移轉層次_級距
文山區,房地(土地+建物),公寓(5樓含以下無電梯),住家用,80.76,3,2,2,0,11480000,142150,無車位,0,0,48.89863014,0,中,4,4,一到五層
中正區,房地(土地+建物),公寓(5樓含以下無電梯),住家用,13.26,4,1,2,0,1468602,110754,無車位,0,0,47.06849315,0,小,4,4,一到五層
萬華區,房地(土地+建物),住宅大樓(11層含以上有電梯),住家用,87.96,3,1,1,1,22000000,250114,無車位,1,0.3381,7.561643836,0,中,3,13,一到五層
萬華區,房地(土地+建物)+車位,住宅大樓(11層含以上有電梯),住家用,149.24,3,2,2,1,30000000,201018,升降機械,1,0.3119,16.87671233,0,中,12,13,十一到十五層
萬華區,房地(土地+建物),住宅大樓(11層含以上有電梯),住家用,51.23,1,1,1,1,12000000,234238,無車位,1,0.3394,8.347945205,0,小,13,26,十一到十五層
內湖區,房地(土地+建物)+車位,住宅大樓(11層含以上有電梯),住家用,182.91,3,2,2,1,33500000,210426,坡道平面,1,0.3779,17.40547945,0,大,5,11,一到五層
中山區,房地(土地+建物)+車位,華廈(10層含以下有電梯),住家用,155.47,3,2,2,1,34200000,219978,坡道平面,1,0.4486,24.11780822,0,中,4,10,一到五層
中山區,房地(土地+建物),住宅大樓(11層含以上有電梯),商業用,47.82,1,1,1,1,13020000,272271,無車位,1,0.3348,21.00547945,0,小,9,14,六到十層
中山區,房地(土地+建物),華廈(10層含以下有電梯),住家用,33.76,1,1,1,1,9300000,275474,無車位,1,0.3513,16.67123288,0,小,7,7,六到十層
文山區,房地(土地+建物),華廈(10層含以下有電梯),住家用,162.01,4,2,2,1,18800000,116042,無車位,1,0.2225,29.20821918,0,中,2,10,一到五層
萬華區,房地(土地+建物),公寓(5樓含以下無電梯),住家用,117.71,6,0,6,0,17700000,150370,無車位,0,0,44.82739726,0,中,4,5,一到五層
中山區,房地(土地+建物),住宅大樓(11層含以上有電梯),商業用,87,3,1,1,1,17000000,195402,無車位,1,0.3234,39.22739726,0,中,4,12,一到五層
內湖區,房地(土地+建物),公寓(5樓含以下無電梯),住家用,183.53,3,2,2,0,28000000,152564,無車位,0,0.0509,39.16438356,0,大,1,5,一到五層
內湖區,房地(土地+建物),公寓(5樓含以下無電梯),住家用,94.85,3,2,2,0,19300000,203479,無車位,0,0,41.37534247,0,中,3,5,一到五層
內湖區,房地(土地+建物)+車位,住宅大樓(11層含以上有電梯),住家用,138.02,3,2,2,1,37300000,300288,坡道機械,1,0.3756,16.74520548,0,中,7,15,六到十層
中山區,房地(土地+建物),住宅大樓(11層含以上有電梯),商業用,41.77,0,0,0,1,8860000,212114,無車位,1,0.2408,42.16164384,0,小,6,12,六到十層
信義區,房地(土地+建物),華廈(10層含以下有電梯),住家用,60.26,2,1,1,0,18100000,300365,無車位,1,0.1764,31.75616438,0,小,6,7,六到十層
北投區,房地(土地+建物)+車位,華廈(10層含以下有電梯),住家用,140.71,3,2,1,1,22000000,190061,升降平面,1,0.4978,5.301369863,0,中,6,7,六到十層
士林區,房地(土地+建物),華廈(10層含以下有電梯),住家用,98.73,4,2,2,1,16000000,162058,無車位,1,0.2151,42.61369863,0,中,9,9,六到十層
士林區,房地(土地+建物)+車位,華廈(10層含以下有電梯),住家用,116.03,2,2,2,1,34200000,294751,其他,1,0.4022,7.336986301,0,中,2,7,一到五層
大安區,房地(土地+建物),住宅大樓(11層含以上有電梯),住家用,229.1,4,2,2,1,85590000,373592,無車位,1,0.3483,0.690410959,1,大,5,12,一到五層
大安區,房地(土地+建物),住宅大樓(11層含以上有電梯),住家用,177.8,3,2,2,1,66420000,373566,無車位,1,0.3484,0.690410959,0,大,5,12,一到五層
大安區,房地(土地+建物)+車位,住宅大樓(11層含以上有電梯),住家用,212.76,3,2,2,1,73580000,388698,坡道平面,1,0.4472,0.690410959,0,大,6,12,六到十層
大安區,房地(土地+建物),住宅大樓(11層含以上有電梯),住家用,230.93,4,2,2,1,91870000,397826,無車位,1,0.3483,0.690410959,1,大,9,12,六到十層
